title	revenue	budget	genres	release_date	runtime	vote_average	vote_count
Avatar	2787965087	237000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}, {"id": 878, "name": "Science Fiction"}]	2009-12-10	162	7.2	11800
Pirates of the Caribbean: At World's End	961000000	300000000	[{"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}, {"id": 28, "name": "Action"}]	2007-05-19	169	6.9	4500
Spectre	880674609	245000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 80, "name": "Crime"}]	2015-10-26	148	6.3	4466
The Dark Knight Rises	1084939099	250000000	[{"id": 28, "name": "Action"}, {"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]	2012-07-16	165	7.6	9106
John Carter	284139100	260000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 878, "name": "Science Fiction"}]	2012-03-07	132	6.1	2124
Spider-Man 3	890871626	258000000	[{"id": 14, "name": "Fantasy"}, {"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}]	2007-05-01	139	5.9	3576
Tangled	591794936	260000000	[{"id": 16, "name": "Animation"}, {"id": 10751, "name": "Family"}]	2010-11-24	100	7.4	3330
Avengers: Age of Ultron	1405403694	280000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 878, "name": "Science Fiction"}]	2015-04-22	141	7.3	6767
Harry Potter and the Half-Blood Prince	933959197	250000000	[{"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}, {"id": 10751, "name": "Family"}]	2009-07-07	153	7.4	5293
Batman v Superman: Dawn of Justice	873260194	250000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}]	2016-03-23	151	5.7	7004
Superman Returns	391081192	270000000	[{"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}, {"id": 28, "name": "Action"}, {"id": 878, "name": "Science Fiction"}]	2006-06-28	154	5.4	1400
Quantum of Solace	586090727	200000000	[{"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}, {"id": 80, "name": "Crime"}]	2008-10-30	106	6.1	2965
Pirates of the Caribbean: Dead Man's Chest	1065659812	200000000	[{"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}, {"id": 28, "name": "Action"}]	2006-06-20	151	7	5246
The Lone Ranger	89289910	255000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 37, "name": "Western"}]	2013-07-03	149	5.9	2311
Man of Steel	662845518	225000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}, {"id": 878, "name": "Science Fiction"}]	2013-06-12	143	6.5	6359
The Chronicles of Narnia: Prince Caspian	419651413	225000000	[{"id": 12, "name": "Adventure"}, {"id": 10751, "name": "Family"}, {"id": 14, "name": "Fantasy"}]	2008-05-15	150	6.3	1630
The Avengers	1519557910	220000000	[{"id": 878, "name": "Science Fiction"}, {"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}]	2012-04-25	143	7.4	11776
Pirates of the Caribbean: On Stranger Tides	1045713802	380000000	[{"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}, {"id": 14, "name": "Fantasy"}]	2011-05-14	136	6.4	4948
Men in Black 3	624026776	225000000	[{"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}, {"id": 878, "name": "Science Fiction"}]	2012-05-23	106	6.2	4160
The Hobbit: The Battle of the Five Armies	956019788	250000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}]	2014-12-10	144	7.1	4760
The Amazing Spider-Man	752215857	215000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}]	2012-06-27	136	6.5	6586
Robin Hood	310669540	200000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}]	2010-05-12	140	6.2	1398
The Hobbit: The Desolation of Smaug	958400000	250000000	[{"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}]	2013-12-11	161	7.6	4524
The Golden Compass	372234864	180000000	[{"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}]	2007-12-04	113	5.8	1303
King Kong	550000000	207000000	[{"id": 12, "name": "Adventure"}, {"id": 18, "name": "Drama"}, {"id": 28, "name": "Action"}]	2005-12-14	187	6.6	2337
Titanic	1845034188	200000000	[{"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}, {"id": 53, "name": "Thriller"}]	1997-11-18	194	7.5	7562
Captain America: Civil War	1153304495	250000000	[{"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}, {"id": 878, "name": "Science Fiction"}]	2016-04-27	147	7.1	7241
Battleship	303025485	209000000	[{"id": 53, "name": "Thriller"}, {"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 878, "name": "Science Fiction"}]	2012-04-11	131	5.5	2114
Jurassic World	1513528810	150000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 878, "name": "Science Fiction"}, {"id": 53, "name": "Thriller"}]	2015-06-09	124	6.5	8662
Skyfall	1108561013	200000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 53, "name": "Thriller"}]	2012-10-25	143	6.9	7604
Spider-Man 2	783766341	200000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}]	2004-06-25	127	6.7	4321
Iron Man 3	1215439994	200000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 878, "name": "Science Fiction"}]	2013-04-18	130	6.8	8806
Alice in Wonderland	1025491110	200000000	[{"id": 10751, "name": "Family"}, {"id": 14, "name": "Fantasy"}, {"id": 12, "name": "Adventure"}]	2010-03-03	108	6.4	4645
X-Men: The Last Stand	459359555	210000000	[{"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}, {"id": 878, "name": "Science Fiction"}, {"id": 53, "name": "Thriller"}]	2006-05-24	104	6.3	3525
Monsters University	743559607	200000000	[{"id": 16, "name": "Animation"}, {"id": 10751, "name": "Family"}]	2013-06-20	104	7	3528
Transformers: Revenge of the Fallen	836297228	150000000	[{"id": 878, "name": "Science Fiction"}, {"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}]	2009-06-19	150	6	3138
Transformers: Age of Extinction	1091405097	210000000	[{"id": 878, "name": "Science Fiction"}, {"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}]	2014-06-25	165	5.8	3095
Oz: The Great and Powerful	491868548	200000000	[{"id": 14, "name": "Fantasy"}, {"id": 12, "name": "Adventure"}, {"id": 10751, "name": "Family"}]	2013-03-07	130	5.7	3530
The Amazing Spider-Man 2	705717432	200000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}]	2014-04-16	142	6.5	4179
TRON: Legacy	400062763	170000000	[{"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}, {"id": 878, "name": "Science Fiction"}]	2010-12-10	125	6.3	2841
Cars 2	559852396	200000000	[{"id": 16, "name": "Animation"}, {"id": 10751, "name": "Family"}, {"id": 12, "name": "Adventure"}, {"id": 35, "name": "Comedy"}]	2011-06-11	106	5.8	2033
Green Lantern	219851172	200000000	[{"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}, {"id": 878, "name": "Science Fiction"}]	2011-06-16	114	5.1	2487
Toy Story 3	1066969703	200000000	[{"id": 16, "name": "Animation"}, {"id": 10751, "name": "Family"}, {"id": 35, "name": "Comedy"}]	2010-06-16	103	7.6	4597
Terminator Salvation	371353001	200000000	[{"id": 28, "name": "Action"}, {"id": 878, "name": "Science Fiction"}, {"id": 53, "name": "Thriller"}]	2009-05-20	115	5.9	2463
Furious 7	1506249360	190000000	[{"id": 28, "name": "Action"}]	2015-04-01	137	7.3	4176
World War Z	531865000	200000000	[{"id": 28, "name": "Action"}, {"id": 18, "name": "Drama"}, {"id": 27, "name": "Horror"}, {"id": 878, "name": "Science Fiction"}, {"id": 53, "name": "Thriller"}]	2013-06-20	116	6.7	5560
X-Men: Days of Future Past	747862775	250000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}, {"id": 878, "name": "Science Fiction"}]	2014-05-15	131	7.5	6032
Star Trek Into Darkness	467365246	190000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 878, "name": "Science Fiction"}]	2013-05-05	132	7.4	4418
Jack the Giant Slayer	197687603	195000000	[{"id": 28, "name": "Action"}, {"id": 10751, "name": "Family"}, {"id": 14, "name": "Fantasy"}]	2013-02-27	114	5.5	2598
The Great Gatsby	351040419	105000000	[{"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2013-05-10	143	7.3	3769
Prince of Persia: The Sands of Time	335154643	150000000	[{"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}, {"id": 28, "name": "Action"}, {"id": 10749, "name": "Romance"}]	2010-05-19	116	6.2	2317
Pacific Rim	407602906	180000000	[{"id": 28, "name": "Action"}, {"id": 878, "name": "Science Fiction"}, {"id": 12, "name": "Adventure"}]	2013-07-11	131	6.7	4794
Transformers: Dark of the Moon	1123746996	195000000	[{"id": 28, "name": "Action"}, {"id": 878, "name": "Science Fiction"}, {"id": 12, "name": "Adventure"}]	2011-06-28	154	6.1	3299
